account_age_days,transaction_amount,hour,weekday,month,is_high_value,transaction_amount_log,channel_Atm,channel_Mobile,channel_Pos,channel_Web,kyc_verified_No,kyc_verified_Yes,is_fraud
746,20015.0,20,1,8,0,9.904287232706691,0.0,1.0,0.0,0.0,1.0,0.0,0
979,6807.0,15,5,8,0,8.82585367025321,0.0,0.0,0.0,1.0,0.0,1.0,0
133,17877.0,21,2,8,0,9.791326185647796,0.0,0.0,0.0,1.0,0.0,1.0,0
2108,6087.0,3,5,8,0,8.714074899541522,0.0,1.0,0.0,0.0,0.0,1.0,0
2312,92963.0,4,3,8,1,11.439967600419903,0.0,1.0,0.0,0.0,1.0,0.0,1
2497,7459.0,14,0,8,0,8.917310693197807,1.0,0.0,0.0,0.0,1.0,0.0,1
2765,267287.0,16,5,8,1,12.496082007741046,0.0,1.0,0.0,0.0,0.0,1.0,0
57,7170.0,22,1,8,0,8.877800393882575,0.0,1.0,0.0,0.0,0.0,1.0,1
2298,18885.0,5,2,8,0,9.846176185823014,0.0,0.0,0.0,1.0,0.0,1.0,0
1590,26288.0,5,6,8,0,10.17690587972396,0.0,1.0,0.0,0.0,0.0,1.0,0
1947,105929.0,16,1,8,1,11.570533777590542,1.0,0.0,0.0,0.0,0.0,1.0,1
2570,11122.0,11,0,8,0,9.316770315592027,0.0,0.0,1.0,0.0,0.0,1.0,0
92,9509.0,11,2,8,0,9.160099155539436,0.0,1.0,0.0,0.0,0.0,1.0,0
1874,3970.0,10,6,8,0,8.286773231131251,0.0,0.0,0.0,1.0,0.0,1.0,0
1887,6770.0,1,1,8,0,8.820404065485645,0.0,0.0,0.0,1.0,0.0,1.0,0
1666,2843.0,7,0,8,0,7.952966790923131,0.0,0.0,0.0,1.0,0.0,1.0,0
2099,7558.0,7,5,8,0,8.930494185292178,0.0,0.0,0.0,1.0,0.0,1.0,0
399,9892.0,3,3,8,0,9.199582715323222,0.0,1.0,0.0,0.0,0.0,1.0,0
1148,35380.0,4,5,8,0,10.473930231870588,0.0,1.0,0.0,0.0,0.0,1.0,0
134,269564.0,14,0,8,1,12.504564827634232,0.0,1.0,0.0,0.0,1.0,0.0,0
2166,261141.0,10,0,8,1,12.472819599659822,0.0,1.0,0.0,0.0,0.0,1.0,0
639,10291.0,13,0,8,0,9.239122173401634,0.0,0.0,0.0,1.0,0.0,1.0,0
1542,12765.0,20,0,8,0,9.454540665816005,0.0,1.0,0.0,0.0,0.0,1.0,0
2578,2443.0,11,1,8,0,7.801391320291485,0.0,0.0,1.0,0.0,0.0,1.0,0
2518,15776.0,10,6,8,0,9.666308462257454,0.0,1.0,0.0,0.0,0.0,1.0,0
802,12726.0,7,1,8,0,9.451480999992048,0.0,0.0,0.0,1.0,0.0,1.0,0
2719,16336.0,8,2,8,0,9.701187753026508,0.0,1.0,0.0,0.0,0.0,1.0,0
2709,14069.0,14,6,8,0,9.551800150108434,0.0,1.0,0.0,0.0,1.0,0.0,0
2267,6065.0,16,6,8,0,8.710454688248527,1.0,0.0,0.0,0.0,0.0,1.0,0
10,9704.0,5,3,8,0,9.18039649560311,0.0,0.0,0.0,1.0,0.0,1.0,0
86,285487.0,3,0,8,1,12.56195527567121,0.0,1.0,0.0,0.0,0.0,1.0,1
1000,9641.0,15,5,8,0,9.173883834965569,0.0,0.0,1.0,0.0,0.0,1.0,0
2239,5785.0,11,6,8,0,8.66319648553608,1.0,0.0,0.0,0.0,1.0,0.0,1
135,3659.0,8,5,8,0,8.205218426395412,0.0,0.0,0.0,1.0,1.0,0.0,0
1880,131634.0,1,0,8,1,11.78778821995975,0.0,0.0,1.0,0.0,0.0,1.0,0
1144,3258.0,20,1,8,0,8.089175678837561,0.0,1.0,0.0,0.0,0.0,1.0,0
1606,4719.0,0,1,8,0,8.459564078579602,0.0,0.0,0.0,1.0,0.0,1.0,0
257,238863.0,7,3,8,1,12.383649631293371,0.0,0.0,0.0,1.0,1.0,0.0,1
2406,57175.0,17,6,8,1,10.953889508899817,0.0,0.0,0.0,1.0,0.0,1.0,0
2740,13856.0,0,5,8,0,9.536545799098716,1.0,0.0,0.0,0.0,0.0,1.0,0
1832,5295.0,23,2,8,0,8.574707097616844,0.0,1.0,0.0,0.0,0.0,1.0,0
1862,6714.0,18,1,8,0,8.812099108957337,0.0,1.0,0.0,0.0,1.0,0.0,0
1827,4573.0,7,6,8,0,8.428143374582726,0.0,0.0,1.0,0.0,0.0,1.0,0
2676,6422.0,9,0,8,0,8.767640577257792,0.0,1.0,0.0,0.0,0.0,1.0,0
2361,2431.0,5,3,8,0,7.796469243086058,0.0,0.0,1.0,0.0,0.0,1.0,0
658,11979.0,22,4,8,0,9.39099387166944,0.0,0.0,1.0,0.0,0.0,1.0,0
190,12140.0,16,3,8,0,9.404343433543977,0.0,1.0,0.0,0.0,0.0,1.0,0
1728,18277.0,14,1,8,0,9.813453429832148,0.0,1.0,0.0,0.0,0.0,1.0,0
2359,5750.0,2,5,8,0,8.657129031713755,0.0,0.0,0.0,1.0,0.0,1.0,0
2404,5338.0,23,0,8,0,8.582793648500186,0.0,0.0,1.0,0.0,0.0,1.0,0
2193,6506.0,18,0,8,0,8.780633799494984,0.0,1.0,0.0,0.0,1.0,0.0,0
480,255986.0,21,6,8,1,12.452881940922287,0.0,0.0,1.0,0.0,0.0,1.0,1
2397,7322.0,0,0,8,0,8.89877535906107,0.0,0.0,0.0,1.0,1.0,0.0,0
2049,5750.0,7,4,8,0,8.657129031713755,0.0,0.0,0.0,1.0,0.0,1.0,0
1188,7003.0,12,4,8,0,8.854236693405742,1.0,0.0,0.0,0.0,0.0,1.0,0
2990,11981.0,20,1,8,0,9.39116080264387,0.0,1.0,0.0,0.0,0.0,1.0,0
1052,11757.0,20,6,8,0,9.3722891389622,0.0,0.0,0.0,1.0,1.0,0.0,1
1578,33180.0,19,5,8,0,10.409732701928007,0.0,0.0,0.0,1.0,0.0,1.0,0
2103,6145.0,8,2,8,0,8.72355674269043,0.0,1.0,0.0,0.0,0.0,1.0,0
84,6953.0,8,6,8,0,8.847072312567807,0.0,0.0,1.0,0.0,0.0,1.0,0
2439,8768.0,11,5,8,0,9.078978053779355,0.0,0.0,0.0,1.0,0.0,1.0,0
1924,17663.0,23,6,8,0,9.779283949076822,0.0,0.0,0.0,1.0,0.0,1.0,1
1094,8202.0,4,6,8,0,9.01225522000275,0.0,1.0,0.0,0.0,0.0,1.0,0
2423,223715.0,5,5,8,1,12.31813266928346,0.0,0.0,0.0,1.0,0.0,1.0,0
910,56025.0,23,6,8,1,10.933571147684308,0.0,0.0,1.0,0.0,0.0,1.0,0
1355,3130.0,23,0,8,0,8.049107721326406,0.0,0.0,1.0,0.0,1.0,0.0,0
909,75801.0,6,2,8,1,11.235879956506654,0.0,0.0,0.0,1.0,0.0,1.0,0
1228,6405.0,20,1,8,0,8.764990330169104,0.0,1.0,0.0,0.0,1.0,0.0,0
525,17886.0,5,5,8,0,9.791829470993246,0.0,1.0,0.0,0.0,1.0,0.0,0
700,57195.0,16,3,8,1,10.954239244852738,0.0,1.0,0.0,0.0,0.0,1.0,1
2663,41802.0,11,1,8,0,10.640723386272407,0.0,1.0,0.0,0.0,0.0,1.0,0
273,260260.0,4,5,8,1,12.469440252634902,0.0,0.0,0.0,1.0,0.0,1.0,0
1505,253809.0,15,1,8,1,12.444341234589452,0.0,0.0,0.0,1.0,0.0,1.0,1
